YYMMDDHHMI(KST),STN(ID),TA(C),WD(deg),WS(m/s),RN_DAY(mm),RN_HR1(mm),HM(%),PA(hPa),PS(hPa)
201206010000,114,17.0,33.2,1.1,0.0,0.0,76.4,999.6,1017.0
201206010100,114,16.1,49.9,0.9,0.0,0.0,81.5,998.7,1016.2
201206010200,114,15.2,322.9,1.2,0.0,0.0,86.5,998.9,1016.5
201206010300,114,14.7,311.5,0.6,0.0,0.0,88.7,999.0,1016.7
201206010400,114,14.2,31.2,0.9,0.0,0.0,89.2,999.3,1016.9
201206010500,114,13.4,0.1,0.5,0.0,0.0,91.1,999.3,1017.0
201206010600,114,13.4,2.1,0.9,0.0,0.0,91.9,999.8,1017.5
201206010700,114,14.0,44.2,0.6,0.0,0.0,91.3,1000.2,1017.8
201206010800,114,15.7,32.5,2.0,0.0,0.0,82.5,1000.3,1017.9
201206010900,114,18.8,346.5,0.9,0.0,0.0,68.0,1000.2,1017.5
201206011000,114,20.8,49.4,1.4,0.0,0.0,58.1,999.4,1016.6
201206011100,114,23.0,88.2,1.2,0.0,0.0,48.4,998.8,1015.8
201206011200,114,24.9,329.8,2.3,0.0,0.0,28.1,998.3,1015.3
201206011300,114,25.8,283.1,1.5,0.0,0.0,28.5,997.6,1014.5
201206011400,114,25.7,73.6,1.5,0.0,0.0,26.9,996.9,1013.8
201206011500,114,26.3,293.9,2.1,0.0,0.0,23.5,996.6,1013.4
201206011600,114,26.1,197.9,1.9,0.0,0.0,26.7,996.5,1013.3
201206011700,114,25.3,293.4,2.3,0.0,0.0,31.5,996.5,1013.4
201206011800,114,24.7,274.4,2.1,0.0,0.0,32.6,996.7,1013.6
201206011900,114,23.9,292.7,1.9,0.0,0.0,33.1,997.1,1014.0
201206012000,114,22.6,230.9,1.2,0.0,0.0,37.4,997.4,1014.4
201206012100,114,20.8,101.4,1.0,0.0,0.0,47.2,997.6,1014.8
201206012200,114,19.9,67.4,0.9,0.0,0.0,50.5,997.9,1015.2
201206012300,114,20.1,14.6,1.7,0.0,0.0,51.1,998.0,1015.3
201206020000,114,19.3,26.0,2.2,0.0,0.0,56.0,997.7,1014.9
201206020100,114,18.6,15.3,2.7,0.0,0.0,60.1,997.9,1015.1
201206020200,114,18.4,325.2,0.6,0.0,0.0,61.3,997.8,1015.1
201206020300,114,18.2,14.2,2.3,0.0,0.0,61.6,997.6,1014.9
201206020400,114,17.4,352.1,0.9,0.0,0.0,65.6,997.5,1014.8
201206020500,114,17.0,308.6,0.6,0.0,0.0,68.7,997.6,1015.0
201206020600,114,17.0,20.4,1.1,0.0,0.0,69.3,998.1,1015.5
201206020700,114,17.4,20.7,1.8,0.0,0.0,68.1,998.2,1015.6
201206020800,114,18.9,55.2,0.3,0.0,0.0,64.3,998.4,1015.6
201206020900,114,21.0,278.0,1.2,0.0,0.0,55.3,998.2,1015.4
201206021000,114,23.2,15.7,1.9,0.0,0.0,48.2,997.6,1014.5
201206021100,114,23.9,19.5,2.4,0.0,0.0,46.8,997.1,1014.0
201206021200,114,25.3,318.7,1.9,0.0,0.0,42.4,996.6,1013.5
201206021300,114,26.4,315.2,2.1,0.0,0.0,41.2,995.8,1012.6
201206021400,114,26.5,322.2,2.3,0.0,0.0,38.9,995.2,1012.0
201206021500,114,28.2,228.5,2.4,0.0,0.0,33.4,994.5,1011.1
201206021600,114,27.4,15.4,2.0,0.0,0.0,32.3,994.0,1010.7
201206021700,114,26.7,63.0,2.2,0.0,0.0,34.2,993.4,1010.1
201206021800,114,25.5,105.5,1.4,0.0,0.0,41.9,993.5,1010.3
201206021900,114,24.6,14.0,3.4,0.0,0.0,41.0,993.8,1010.5
201206022000,114,22.3,138.9,4.1,0.0,0.0,43.9,995.1,1012.1
201206022100,114,21.4,141.8,3.9,0.0,0.0,48.3,995.6,1012.7
201206022200,114,21.0,132.7,1.5,0.0,0.0,45.4,995.9,1013.0
201206022300,114,19.5,81.2,1.9,0.0,0.0,56.5,996.0,1013.1
201206030000,114,19.1,33.2,1.6,0.0,0.0,62.1,996.0,1013.2
201206030100,114,18.4,86.2,0.8,0.0,0.0,60.9,995.5,1012.7
201206030200,114,17.7,38.0,1.4,0.0,0.0,68.9,995.8,1013.1
201206030300,114,17.6,17.3,1.6,0.0,0.0,67.0,995.7,1013.0
201206030400,114,16.9,42.7,0.5,0.0,0.0,74.3,995.6,1013.0
201206030500,114,16.0,158.7,0.1,0.0,0.0,76.4,995.6,1013.1
201206030600,114,16.4,261.4,0.5,0.0,0.0,77.7,995.9,1013.3
201206030700,114,17.0,8.3,1.6,0.0,0.0,75.3,996.3,1013.7
201206030800,114,18.8,30.2,1.6,0.0,0.0,67.6,996.7,1013.9
201206030900,114,21.7,93.2,0.8,0.0,0.0,56.0,996.9,1014.0
201206031000,114,23.5,26.9,1.5,0.0,0.0,47.2,996.3,1013.2
201206031100,114,25.4,276.7,1.6,0.0,0.0,37.6,995.6,1012.5
201206031200,114,26.4,206.8,2.2,0.0,0.0,30.9,995.0,1011.8
201206031300,114,27.1,315.9,2.4,0.0,0.0,31.9,994.3,1011.0
201206031400,114,28.4,334.0,2.5,0.0,0.0,27.8,993.5,1010.1
201206031500,114,28.5,210.0,2.9,0.0,0.0,27.7,993.3,1009.9
201206031600,114,28.9,314.4,2.9,0.0,0.0,27.5,992.7,1009.2
201206031700,114,28.5,304.2,2.8,0.0,0.0,22.6,992.7,1009.3
201206031800,114,27.1,230.5,1.8,0.0,0.0,28.1,992.4,1009.1
201206031900,114,26.2,256.0,1.4,0.0,0.0,31.7,992.8,1009.6
201206032000,114,24.8,199.9,0.9,0.0,0.0,38.9,993.3,1010.2
201206032100,114,22.2,96.5,1.4,0.0,0.0,46.3,994.1,1011.1
201206032200,114,21.5,105.7,0.7,0.0,0.0,49.1,994.4,1011.5
201206032300,114,20.3,97.8,0.7,0.0,0.0,53.4,994.6,1011.8
201206040000,114,19.7,66.5,0.6,0.0,0.0,56.0,994.3,1011.5
201206040100,114,18.8,23.0,1.3,0.0,0.0,66.2,994.2,1011.4
201206040200,114,18.2,29.6,1.0,0.0,0.0,69.8,994.3,1011.5
201206040300,114,17.7,14.5,0.5,0.0,0.0,71.0,994.6,1011.9
201206040400,114,17.1,25.4,0.5,0.0,0.0,76.9,994.8,1012.1
201206040500,114,16.1,5.6,0.2,0.0,0.0,80.5,995.1,1012.5
201206040600,114,16.4,30.5,1.3,0.0,0.0,80.1,995.2,1012.6
201206040700,114,17.2,46.2,1.3,0.0,0.0,75.8,994.8,1012.1
201206040800,114,19.9,349.0,1.4,0.0,0.0,62.9,995.1,1012.3
201206040900,114,22.6,338.4,1.1,0.0,0.0,49.0,994.9,1011.9
201206041000,114,24.7,245.8,0.8,0.0,0.0,44.3,994.8,1011.7
201206041100,114,26.9,285.5,1.8,0.0,0.0,40.3,994.3,1011.0
201206041200,114,27.5,302.4,3.4,0.0,0.0,35.1,994.0,1010.7
201206041300,114,28.8,244.9,3.3,0.0,0.0,30.6,993.5,1010.1
201206041400,114,28.7,220.7,3.4,0.0,0.0,31.6,992.8,1009.4
201206041500,114,28.8,228.6,3.2,0.0,0.0,27.9,992.2,1008.7
201206041600,114,28.9,233.7,2.6,0.0,0.0,27.1,991.5,1008.0
201206041700,114,28.9,243.2,2.5,0.0,0.0,28.3,991.0,1007.5
201206041800,114,27.5,222.9,1.7,0.0,0.0,30.8,990.9,1007.5
201206041900,114,26.9,240.8,1.9,0.0,0.0,32.8,990.9,1007.6
201206042000,114,25.6,235.2,1.5,0.0,0.0,37.4,991.2,1008.0
201206042100,114,24.7,221.4,1.9,0.0,0.0,40.3,991.9,1008.8
201206042200,114,24.3,213.9,2.5,0.0,0.0,35.4,992.3,1009.0
201206042300,114,23.0,232.0,2.6,0.0,0.0,38.9,992.7,1009.6
201206050000,114,22.1,234.9,1.7,0.0,0.0,42.7,992.9,1009.9
201206050100,114,22.1,204.1,2.1,0.0,0.0,48.0,992.8,1009.8
201206050200,114,21.7,207.2,1.6,0.0,0.0,51.9,992.7,1009.7
201206050300,114,21.4,217.2,1.7,0.0,0.0,55.4,992.2,1009.2
201206050400,114,21.1,230.6,1.1,0.0,0.0,57.4,992.1,1009.2
201206050500,114,20.8,251.1,1.1,0.0,0.0,61.5,992.0,1009.1
201206050600,114,20.9,188.7,1.1,0.0,0.0,64.5,992.2,1009.3
201206050700,114,20.9,207.5,0.9,0.0,0.0,68.8,992.6,1009.7
201206050800,114,20.6,339.8,1.3,0.5,0.5,72.5,992.8,1009.9
201206050900,114,21.9,293.7,1.2,0.5,0.0,62.8,992.9,1009.9
201206051000,114,23.1,200.9,2.3,0.5,0.0,57.5,991.9,1008.8
201206051100,114,25.1,243.0,2.3,0.5,0.0,48.8,991.5,1008.3
201206051200,114,26.2,229.0,1.5,0.5,0.0,43.8,990.7,1007.4
201206051300,114,26.9,283.4,2.4,0.5,0.0,40.9,989.9,1006.6
201206051400,114,27.9,219.7,2.4,0.5,0.0,38.5,989.0,1005.6
201206051500,114,28.0,226.0,3.1,0.5,0.0,38.6,988.6,1005.1
201206051600,114,28.0,216.4,3.1,0.5,0.0,37.0,988.1,1004.6
201206051700,114,27.6,262.8,2.9,0.5,0.0,36.8,987.5,1004.1
201206051800,114,27.0,265.9,2.9,0.5,0.0,39.7,987.2,1003.8
201206051900,114,25.6,253.0,2.3,0.5,0.0,44.0,987.1,1003.8
201206052000,114,24.2,246.8,2.5,0.5,0.0,52.8,987.6,1004.3
201206052100,114,23.5,223.4,1.8,0.5,0.0,56.4,988.1,1004.9
201206052200,114,22.6,221.0,1.5,0.5,0.0,60.4,988.5,1005.3
201206052300,114,22.1,209.1,1.8,0.5,0.0,60.9,988.2,1005.1
201206060000,114,21.2,231.8,2.1,0.5,0.0,63.6,988.3,1005.3
201206060100,114,20.2,225.9,2.1,0.0,0.0,68.4,987.7,1004.8
201206060200,114,19.5,230.9,3.0,0.0,0.0,76.5,987.5,1004.5
201206060300,114,19.4,218.9,1.4,0.0,0.0,77.7,987.4,1004.4
201206060400,114,19.2,267.0,1.0,0.0,0.0,78.2,987.4,1004.4
201206060500,114,19.3,279.4,0.6,0.0,0.0,77.8,987.3,1004.3
201206060600,114,19.6,221.0,1.2,0.0,0.0,77.0,987.4,1004.4
201206060700,114,20.0,209.0,0.9,0.0,0.0,75.5,987.7,1004.8
201206060800,114,20.5,264.2,0.9,0.0,0.0,70.9,988.0,1005.0
201206060900,114,21.7,208.1,1.3,0.0,0.0,67.4,988.3,1005.2
201206061000,114,24.6,244.3,1.9,0.0,0.0,49.2,988.3,1005.0
201206061100,114,23.8,310.0,1.2,0.0,0.0,47.4,987.8,1004.5
201206061200,114,25.3,217.8,1.9,0.0,0.0,42.6,987.3,1004.0
201206061300,114,27.6,1.0,1.4,0.0,0.0,34.6,986.6,1003.1
201206061400,114,27.6,350.2,1.7,0.0,0.0,34.1,986.2,1002.7
201206061500,114,28.8,265.1,3.2,0.0,0.0,32.3,985.8,1002.2
201206061600,114,28.6,221.2,3.2,0.0,0.0,32.8,985.6,1002.1
201206061700,114,28.5,249.8,2.7,0.0,0.0,32.9,985.6,1002.1
201206061800,114,27.5,212.9,2.8,0.0,0.0,34.8,985.6,1002.1
201206061900,114,26.5,227.1,1.8,0.0,0.0,40.7,986.1,1002.7
201206062000,114,24.8,246.3,2.6,0.0,0.0,53.2,986.9,1003.7
201206062100,114,24.1,226.4,1.3,0.0,0.0,55.9,987.6,1004.3
201206062200,114,23.0,232.0,2.1,0.0,0.0,60.9,988.2,1005.0
201206062300,114,22.4,217.2,1.6,0.0,0.0,62.8,988.6,1005.5
201206070000,114,21.8,232.4,1.7,0.0,0.0,66.9,988.5,1005.4
201206070100,114,21.2,257.9,1.3,0.0,0.0,70.5,988.3,1005.3
201206070200,114,20.7,221.2,0.6,0.0,0.0,73.4,988.2,1005.2
201206070300,114,20.0,105.3,1.0,0.0,0.0,73.5,988.0,1005.1
201206070400,114,19.5,280.1,0.6,0.0,0.0,77.7,987.9,1004.9
201206070500,114,18.9,285.7,0.7,0.0,0.0,81.4,988.2,1005.2
201206070600,114,18.9,113.4,1.3,0.0,0.0,78.2,988.4,1005.4
201206070700,114,20.6,80.8,0.6,0.0,0.0,73.3,988.3,1005.3
201206070800,114,21.5,348.3,1.7,0.0,0.0,73.9,988.7,1005.7
201206070900,114,22.4,9.1,1.3,0.0,0.0,68.1,988.9,1005.8
201206071000,114,24.7,32.4,1.1,0.0,0.0,63.0,989.0,1005.8
201206071100,114,25.7,179.0,1.5,0.0,0.0,59.2,988.8,1005.5
201206071200,114,27.4,256.6,1.9,0.0,0.0,48.7,988.2,1004.8
201206071300,114,26.5,264.5,2.1,0.0,0.0,48.0,987.5,1004.1
201206071400,114,27.7,289.4,2.3,0.0,0.0,40.9,986.9,1003.4
201206071500,114,28.5,271.0,2.8,0.0,0.0,38.9,986.5,1003.0
201206071600,114,28.7,327.1,1.6,0.0,0.0,37.4,986.1,1002.6
201206071700,114,29.0,267.4,2.2,0.0,0.0,37.1,986.0,1002.4
201206071800,114,28.1,250.7,1.7,0.0,0.0,38.9,986.2,1002.7
201206071900,114,27.2,272.9,1.7,0.0,0.0,40.8,986.4,1003.0
201206072000,114,25.8,219.6,1.2,0.0,0.0,46.8,986.5,1003.2
201206072100,114,23.9,90.3,0.8,0.0,0.0,55.1,986.9,1003.6
201206072200,114,23.3,294.7,1.1,0.0,0.0,56.9,987.3,1004.1
201206072300,114,22.4,21.8,2.1,0.0,0.0,61.6,987.6,1004.4
201206080000,114,21.7,40.8,0.4,0.0,0.0,63.8,987.3,1004.2
201206080100,114,21.3,44.2,0.4,0.0,0.0,66.9,987.1,1004.0
201206080200,114,20.5,32.0,0.6,0.0,0.0,68.9,987.2,1004.2
201206080300,114,20.1,39.2,0.8,0.0,0.0,74.0,987.3,1004.4
201206080400,114,19.7,75.7,0.6,0.0,0.0,77.0,987.1,1004.2
201206080500,114,19.1,61.5,0.8,0.0,0.0,77.6,986.8,1003.8
201206080600,114,18.7,6.1,1.3,0.0,0.0,82.7,986.7,1003.7
201206080700,114,19.2,43.5,0.7,0.0,0.0,79.4,986.5,1003.5
201206080800,114,20.7,322.2,1.3,0.0,0.0,73.2,986.3,1003.3
201206080900,114,22.5,59.9,0.9,0.0,0.0,66.1,986.1,1002.9
201206081000,114,24.6,298.3,1.1,0.0,0.0,58.1,985.3,1001.9
201206081100,114,25.6,282.7,1.7,0.0,0.0,49.8,984.4,1001.1
201206081200,114,26.6,166.2,0.9,0.0,0.0,47.4,983.7,1000.3
201206081300,114,25.9,207.3,3.0,0.0,0.0,53.8,983.3,999.9
201206081400,114,25.3,231.9,3.8,0.0,0.0,54.1,982.7,999.4
201206081500,114,21.7,164.0,1.6,3.0,3.0,85.0,983.0,999.8
201206081600,114,21.0,28.3,1.5,3.5,0.5,80.0,983.6,1000.5
201206081700,114,19.9,29.0,2.2,5.0,1.5,89.2,983.5,1000.5
201206081800,114,19.7,337.9,1.9,5.0,0.0,86.7,983.1,1000.1
201206081900,114,19.2,14.5,1.3,5.0,0.0,87.1,983.3,1000.2
201206082000,114,19.1,289.9,0.5,5.5,0.5,85.4,983.9,1000.8
201206082100,114,18.9,309.2,1.3,5.5,0.0,88.0,984.4,1001.4
201206082200,114,18.6,21.6,0.8,5.5,0.0,88.5,984.5,1001.5
201206082300,114,18.5,19.1,0.7,5.5,0.0,88.8,984.2,1001.2
201206090000,114,18.3,29.0,1.4,5.5,0.0,89.8,983.9,1000.9
201206090100,114,17.7,28.6,1.4,0.0,0.0,90.5,984.5,1001.6
201206090200,114,18.0,4.1,0.6,0.0,0.0,89.7,984.3,1001.4
201206090300,114,17.9,40.4,1.1,0.0,0.0,90.4,984.8,1001.9
201206090400,114,17.8,27.3,0.8,0.0,0.0,91.0,984.0,1001.1
201206090500,114,17.8,80.2,0.8,0.0,0.0,88.0,984.0,1001.1
201206090600,114,17.7,103.1,0.9,0.0,0.0,87.4,984.1,1001.2
201206090700,114,18.0,123.8,1.2,0.0,0.0,84.5,984.4,1001.5
201206090800,114,18.6,307.6,1.3,0.0,0.0,82.7,985.1,1002.1
201206090900,114,20.5,22.8,2.0,0.0,0.0,73.7,985.4,1002.4
201206091000,114,22.4,29.5,1.8,0.0,0.0,69.2,985.5,1002.3
201206091100,114,23.3,350.3,1.2,0.0,0.0,64.3,985.6,1002.3
201206091200,114,25.6,256.0,2.2,0.0,0.0,52.7,985.0,1001.7
201206091300,114,26.1,263.2,1.5,0.0,0.0,48.1,984.2,1000.8
201206091400,114,27.9,210.9,1.6,0.0,0.0,43.4,983.6,1000.1
201206091500,114,28.3,235.0,2.7,0.0,0.0,41.0,983.4,999.8
201206091600,114,28.7,238.0,1.3,0.0,0.0,35.0,983.3,999.7
201206091700,114,28.5,228.4,0.8,0.0,0.0,37.7,982.9,999.3
201206091800,114,28.4,247.7,1.8,0.0,0.0,39.1,982.9,999.3
201206091900,114,27.2,253.5,1.6,0.0,0.0,41.4,983.3,999.8
201206092000,114,25.6,184.0,0.8,0.0,0.0,50.4,983.2,999.8
201206092100,114,23.5,99.9,1.2,0.0,0.0,59.3,983.6,1000.3
201206092200,114,23.4,271.1,0.2,0.0,0.0,58.4,984.0,1000.7
201206092300,114,23.1,44.1,1.1,0.0,0.0,63.3,984.5,1001.2
201206100000,114,22.1,26.6,2.5,0.0,0.0,74.1,984.8,1001.6
201206100100,114,20.7,112.0,1.4,3.5,3.5,85.5,985.0,1002.0
201206100200,114,20.5,90.2,1.5,7.0,3.5,89.1,984.7,1001.7
201206100300,114,21.0,37.9,1.5,7.0,0.0,86.3,984.8,1001.7
201206100400,114,20.2,125.5,1.0,7.0,0.0,87.0,984.9,1001.9
201206100500,114,20.2,290.6,0.2,7.0,0.0,88.0,984.9,1001.9
201206100600,114,19.7,23.7,2.9,7.0,0.0,87.6,985.9,1003.0
201206100700,114,20.2,147.6,0.8,7.0,0.0,86.5,986.3,1003.3
201206100800,114,22.2,211.4,0.7,7.0,0.0,71.5,985.9,1002.7
201206100900,114,23.8,296.5,1.0,7.0,0.0,66.3,985.9,1002.6
201206101000,114,23.9,312.0,1.9,7.0,0.0,66.0,986.0,1002.7
201206101100,114,24.3,222.9,1.2,7.0,0.0,60.1,985.6,1002.2
201206101200,114,26.4,124.8,1.4,7.0,0.0,54.1,985.2,1001.8
201206101300,114,27.6,139.3,1.4,7.0,0.0,46.0,984.1,1000.6
201206101400,114,28.9,6.0,1.4,7.0,0.0,40.0,983.7,1000.1
201206101500,114,29.8,312.0,1.3,7.0,0.0,37.7,983.2,999.6
201206101600,114,28.6,233.5,1.9,7.0,0.0,39.6,982.8,999.2
201206101700,114,28.1,205.7,1.6,7.0,0.0,43.0,982.9,999.3
201206101800,114,27.8,204.8,1.2,7.0,0.0,43.1,982.5,999.0
201206101900,114,27.3,147.0,1.4,7.0,0.0,46.6,982.4,998.9
201206102000,114,26.1,208.0,2.2,7.0,0.0,53.3,983.0,999.6
201206102100,114,25.5,221.0,1.4,7.0,0.0,55.0,983.7,1000.4
201206102200,114,23.4,229.6,1.8,7.0,0.0,66.5,984.4,1001.1
201206102300,114,22.7,118.9,0.6,7.0,0.0,68.9,984.7,1001.5
201206110000,114,21.4,42.1,1.4,7.0,0.0,80.3,984.9,1001.8
201206110100,114,21.0,32.3,0.9,0.0,0.0,83.3,984.7,1001.6
201206110200,114,20.2,248.8,0.8,0.0,0.0,85.0,984.4,1001.4
201206110300,114,20.3,107.4,1.2,0.0,0.0,84.7,984.3,1001.3
201206110400,114,20.4,27.6,0.1,0.0,0.0,85.5,984.5,1001.5
201206110500,114,20.8,195.3,1.3,0.0,0.0,77.0,984.8,1001.8
201206110600,114,20.8,242.1,1.1,0.0,0.0,76.4,984.9,1001.9
201206110700,114,21.2,62.3,0.7,0.0,0.0,73.0,984.7,1001.6
201206110800,114,21.7,12.4,0.7,0.0,0.0,72.4,984.9,1001.8
201206110900,114,21.7,31.4,1.2,0.0,0.0,75.8,985.2,1002.1
201206111000,114,22.9,12.1,1.0,0.0,0.0,65.2,984.8,1001.6
201206111100,114,24.1,347.3,1.8,0.0,0.0,57.0,984.7,1001.3
201206111200,114,25.0,38.7,1.8,0.0,0.0,54.3,984.2,1000.9
201206111300,114,25.9,42.3,1.9,0.0,0.0,47.2,983.8,1000.4
201206111400,114,26.3,42.1,1.8,0.0,0.0,46.3,983.5,1000.1
201206111500,114,26.2,303.7,0.9,0.0,0.0,48.2,983.1,999.7
201206111600,114,26.5,296.1,1.1,0.0,0.0,47.0,982.8,999.4
201206111700,114,25.7,222.6,1.1,0.0,0.0,50.3,982.6,999.2
201206111800,114,24.1,285.8,1.3,0.0,0.0,62.4,982.5,999.1
201206111900,114,23.5,101.5,1.2,0.0,0.0,72.3,982.6,999.3
201206112000,114,22.7,121.5,1.1,0.0,0.0,74.5,982.7,999.4
201206112100,114,22.1,127.2,1.2,0.0,0.0,74.0,983.2,1000.0
201206112200,114,21.1,90.4,1.4,0.0,0.0,76.8,983.6,1000.5
201206112300,114,20.7,99.3,0.7,0.0,0.0,78.1,983.6,1000.5
201206120000,114,20.1,87.9,0.7,0.0,0.0,80.4,983.2,1000.2
201206120100,114,19.9,109.3,0.9,0.0,0.0,81.2,983.3,1000.3
201206120200,114,19.6,119.5,0.5,0.0,0.0,83.1,983.2,1000.1
201206120300,114,18.9,0.0,0.0,0.0,0.0,85.6,983.1,1000.1
201206120400,114,19.1,147.0,1.2,0.0,0.0,85.2,983.4,1000.3
201206120500,114,18.7,92.8,0.8,0.0,0.0,85.4,983.8,1000.8
201206120600,114,19.0,36.6,0.9,0.0,0.0,89.1,984.0,1001.0
201206120700,114,19.3,12.7,1.0,0.0,0.0,87.6,984.0,1000.9
201206120800,114,20.1,9.2,1.6,0.0,0.0,84.7,984.0,1001.0
201206120900,114,22.1,84.4,1.3,0.0,0.0,75.7,983.7,1000.5
201206121000,114,24.6,319.0,1.6,0.0,0.0,61.9,983.4,1000.0
201206121100,114,26.8,98.6,1.0,0.0,0.0,53.7,983.1,999.6
201206121200,114,27.4,246.1,1.8,0.0,0.0,45.7,982.6,999.1
201206121300,114,26.9,143.4,3.4,0.0,0.0,42.4,982.0,998.5
201206121400,114,27.9,87.4,1.3,0.0,0.0,35.6,981.5,997.9
201206121500,114,25.1,17.8,4.4,0.0,0.0,49.8,981.8,998.5
201206121600,114,23.3,15.5,5.2,0.0,0.0,57.3,982.3,999.0
201206121700,114,23.6,35.5,3.5,0.0,0.0,48.7,982.5,999.1
201206121800,114,22.8,157.7,2.0,0.0,0.0,51.4,983.0,999.7
201206121900,114,20.9,276.5,1.8,0.0,0.0,70.9,984.6,1001.5
201206122000,114,19.2,106.0,1.0,1.5,1.5,84.3,985.5,1002.5
201206122100,114,18.6,5.1,2.6,2.5,1.0,82.1,986.4,1003.4
201206122200,114,18.5,333.6,1.1,2.5,0.0,87.0,986.9,1004.0
201206122300,114,17.7,313.2,1.2,2.5,0.0,84.9,986.9,1004.0
201206130000,114,17.6,289.5,1.1,2.5,0.0,84.3,987.1,1004.2
201206130100,114,17.2,20.4,2.3,0.0,0.0,82.6,987.6,1004.8
201206130200,114,17.0,292.2,0.7,0.0,0.0,83.9,987.6,1004.8
201206130300,114,16.5,12.3,3.3,0.0,0.0,86.0,988.1,1005.4
201206130400,114,16.3,7.8,2.7,0.0,0.0,86.5,988.2,1005.5
201206130500,114,16.0,3.4,1.6,0.0,0.0,87.2,989.0,1006.3
201206130600,114,16.1,14.8,1.1,0.0,0.0,86.5,989.6,1006.9
201206130700,114,17.3,38.5,1.1,0.0,0.0,83.3,989.7,1006.9
201206130800,114,19.0,352.7,1.5,0.0,0.0,75.3,990.0,1007.1
201206130900,114,19.6,23.4,2.1,0.0,0.0,72.3,990.1,1007.1
201206131000,114,21.5,25.7,2.5,0.0,0.0,63.2,990.3,1007.3
201206131100,114,23.7,233.1,1.7,0.0,0.0,55.9,990.6,1007.4
201206131200,114,24.5,98.1,1.3,0.0,0.0,52.8,990.2,1006.9
201206131300,114,25.4,288.9,1.3,0.0,0.0,49.4,989.9,1006.7
201206131400,114,26.3,17.9,1.3,0.0,0.0,47.5,989.8,1006.5
201206131500,114,26.8,276.6,1.3,0.0,0.0,43.0,989.6,1006.3
201206131600,114,27.5,237.1,2.7,0.0,0.0,41.6,989.5,1006.1
201206131700,114,26.6,224.8,1.6,0.0,0.0,41.4,989.3,1006.0
201206131800,114,27.2,258.8,1.5,0.0,0.0,38.1,989.3,1005.9
201206131900,114,26.4,202.9,1.6,0.0,0.0,41.9,989.8,1006.5
201206132000,114,23.8,99.3,1.6,0.0,0.0,53.8,990.5,1007.3
201206132100,114,22.6,108.3,0.8,0.0,0.0,58.8,991.4,1008.3
201206132200,114,22.5,159.7,2.0,0.0,0.0,60.0,992.3,1009.2
201206132300,114,21.1,6.3,3.7,0.0,0.0,59.1,993.3,1010.4
201206140000,114,20.5,48.1,1.8,0.0,0.0,61.5,993.4,1010.5
201206140100,114,19.6,52.4,1.7,0.0,0.0,64.7,993.4,1010.5
201206140200,114,18.9,27.4,2.3,0.0,0.0,66.3,993.6,1010.7
201206140300,114,18.3,40.3,2.1,0.0,0.0,68.3,993.5,1010.7
201206140400,114,17.5,17.7,3.7,0.0,0.0,73.1,993.9,1011.2
201206140500,114,16.9,14.6,2.9,0.0,0.0,77.4,995.5,1012.9
201206140600,114,17.1,22.9,1.3,0.0,0.0,76.1,995.7,1013.0
201206140700,114,18.2,17.5,2.6,0.0,0.0,71.3,996.3,1013.5
201206140800,114,20.1,142.0,2.5,0.0,0.0,61.3,996.3,1013.5
201206140900,114,21.3,128.3,3.4,0.0,0.0,58.2,996.2,1013.3
201206141000,114,22.5,139.7,3.6,0.0,0.0,53.4,996.3,1013.3
201206141100,114,23.5,171.1,2.2,0.0,0.0,51.0,995.6,1012.5
201206141200,114,25.5,67.1,1.5,0.0,0.0,44.7,995.4,1012.3
201206141300,114,27.0,25.2,1.6,0.0,0.0,39.5,995.0,1011.7
201206141400,114,28.6,138.8,1.6,0.0,0.0,31.9,994.0,1010.6
201206141500,114,29.7,155.2,3.3,0.0,0.0,30.7,993.7,1010.3
201206141600,114,29.1,177.8,3.8,0.0,0.0,30.6,993.1,1009.6
201206141700,114,29.2,167.0,3.7,0.0,0.0,32.6,993.2,1009.7
201206141800,114,27.9,176.6,3.3,0.0,0.0,33.8,993.4,1010.0
201206141900,114,26.6,146.2,3.4,0.0,0.0,38.7,994.4,1011.2
201206142000,114,24.7,196.4,2.3,0.0,0.0,45.0,994.9,1011.8
201206142100,114,24.0,156.0,2.3,0.0,0.0,48.1,995.5,1012.3
201206142200,114,23.0,140.6,3.7,0.0,0.0,51.9,995.8,1012.7
201206142300,114,21.8,168.0,4.1,0.0,0.0,55.9,996.2,1013.3
201206150000,114,21.1,169.6,3.0,0.0,0.0,57.0,996.2,1013.3
201206150100,114,20.4,153.1,3.4,0.0,0.0,59.9,996.1,1013.3
201206150200,114,19.6,170.1,4.1,0.0,0.0,62.3,996.0,1013.1
201206150300,114,19.4,146.7,3.5,0.0,0.0,62.7,996.4,1013.5
201206150400,114,19.1,129.6,3.1,0.0,0.0,63.0,996.3,1013.5
201206150500,114,18.0,23.4,2.0,0.0,0.0,71.5,996.1,1013.4
201206150600,114,18.0,12.4,3.3,0.0,0.0,71.5,995.9,1013.2
201206150700,114,19.1,23.5,3.3,0.0,0.0,66.1,996.0,1013.2
201206150800,114,19.5,14.5,3.0,0.0,0.0,62.8,995.8,1012.9
201206150900,114,21.7,14.8,3.1,0.0,0.0,56.7,995.2,1012.2
201206151000,114,23.7,77.0,1.9,0.0,0.0,49.5,995.3,1012.2
201206151100,114,23.4,162.0,5.0,0.0,0.0,49.8,994.2,1011.1
